foxBMS BMS-Interface V1.00;;;;;;;
Populate;Qty;Value;Package;Parts;Farnell;Digikey;Mouser
no;2;;43045-0406;X1, X2;2063766;;
yes;2;;2x 04;X5, X6;1668340;;
yes;2;;2x 02;X3, X4;1668329;;
yes;4;100n;603;C301, C302, C401, C402;1828890;;
yes;6;0R;603;R302, R304, R310, R402, R404, R410;2059527;;
yes;2;1.21k;603;R312, R412;2059331;;
yes;2;120;603;R501, R502;2303067;;
yes;2;1uF;603;C501, C503;1907343;;
yes;2;27pF;603;C502, C504;1414627;;
yes;4;2k;603;R307, R308, R407, R408;2059343;;
yes;2;806;603;R311, R411;2059324;;
yes;2;HX1188NL;HX1188NL;T501, T502;;553-1340-ND;
yes;2;LTC6820;MSOP16;IC301, IC401;;LTC6820HMS#PBF-ND;
no;10;OPT: 0R;603;R301, R303, R305, R306, R309, R401, R403, R405, R406, R409;2059527;;
