foxBMS BMS-Master Extension V1.00;;;;;;;
Populate;Qty;Value;Package;Parts;Farnell;Digikey;Mouser
;Resistor;;;;;;
yes;5;0;603;R1701  R1703  R1705  R1707  R1709;2059527;;
yes;11;10;603;R902  R1001  R1004  R1007  R2001  R2002  R2007  R2008  R2013  R2014  R806;2302958;;
yes;25;10k;603;R901  R1002  R1005  R1008  R1104  R1105  R1106  R1502  R1503  R1504  R1505  R1506  R1507  R1903  R1904  R1907  R1908  R2003  R2004  R2009  R2010  R2015  R2016  R803  R805;2303192;;
yes;5;4.75k;603;R1702  R1704  R1706  R1708  R1710;2094611;;
yes;10;430;603;R1003  R1006  R1009  R2005  R2006  R2011  R2012  R2017  R2018  R804;2145386;;
yes;1;47k;603;R1501;2303213;;
yes;7;47;603;R1101  R1102  R1103  R1901  R1902  R1905  R1906;2145397;;
yes;2;62;603;R801  R802;2303039;;
;Capacitor;;;;;;
yes;4;100n 50V;603;C1901  C802  C1101  C1302;2346967;;
yes;26;100n;603;C803  C804  C805  C806  C807  C1103  C1104  C1105  C1106  C1303  C1304  C1305  C1306  C1701  C1702  C1704  C1705  C1706  C1707  C1708  C1903  C1904  C1905  C1906  C1907  C1501;1828890;;
yes;3;1æ;603;C1703  C1902  C1502;1907343;;
yes;3;1æ 35V;603;C801  C1102  C1301;2346909;;
;Testpad;;;;;;
no;44;PAD_2.0X1.5MM;PAD2.0X1.5MM;LSP801  LSP802  LSP803  LSP804  LSP805  LSP806  LSP807  LSP901  LSP1001  LSP1002  LSP1003  LSP1101  LSP1102  LSP1103  LSP1301  LSP1302  LSP1303  LSP1304  LSP1501  LSP1502  LSP1503  LSP1504  LSP1505  LSP1701  LSP1702  LSP1703  LSP1704  LSP1705  LSP1901  LSP1902  LSP1903  LSP1904  LSP1905  LSP1906  LSP1907  LSP1908  LSP2001  LSP2002  LSP2003  LSP2004  LSP2005  LSP2006  LSP2101  LSP2102; ;952-2664-1-ND;
;L;;;;;;
yes;1;;B82789*N;L801; ;;871-B82789C513N2
yes;1;22u;L1210;L1501;2443249;;
;Diode;;;;;;
yes;5;MM3Z3V3ST1G;SOD323;D1701  D1702  D1703  D1704  D1705; ;MM3Z3V3ST1GOSCT-ND;
yes;7;CDSOD323-T05;SOD323;D1101  D1102  D1103  D1901  D1902  D1903  D1904;2341914;;
yes;1;PESD1CAN;SOT-23_NEU;D801;1510703;;
no;9;;DO214BA;D1001  D1002  D1003  D2001  D2002  D2003  D2004  D2005  D2006;1467477;;
;Transistor;;;;;;
yes;1;BSS84P;SOT23;T1501;1056526;;
yes;1;BUK964R8-60E;TO-263AB_FAIRCHILD;T901;2254205;;
yes;10;IRLML0100TRPBF;SOT-23;T801  T1001  T1002  T1003  T2001  T2002  T2003  T2004  T2005  T2006;1783928;;
;IC;;;;;;
yes;1;ADR3425;SOT23-6;IC1701;2377039;;
yes;1;ADUM3300;SO-16W;IC1102;2409432;;
yes;1;ADUM3401;SO16W;IC1303;1274129;;
yes;2;ADUM3402;SO16W;IC1902  IC1903;1274127;;
yes;1;LT1785;SOIC8;IC1302;1663498;;
yes;1;TJA1052;SO16W;IC803;2400552;;
;Opto;;;;;;
yes;9;AQV25G2S;SOP06;IC1001  IC1002  IC1003  IC2001  IC2002  IC2003  IC2004  IC2005  IC2006; ;255-3594-1-ND;
yes;1;CPC1008N;SOP4;IC802;1653755;;
;Regulator;;;;;;
yes;1;7805DT;TO252;IC801;2102585;;
yes;3;78L05F;SOT89;IC1101  IC1301  IC1901;2112604;;
;Misc;;;;;;
yes;1;3M2900_NEU;3M2900_NEU;SLOT1501;2424133;;
yes;3;630MA_UMT;F_SMD_11,00MMX3,00MMX3,00MM_(UMT)_R_SCHURTER_REV01;F1001  F1002  F1003; ;486-2077-ND;693-3403.0164.11
;Connector THD;;;;;;
yes;1;;43045-1000;X1901;1012255;;
yes;2;;43045-1200;X1701  X2001;9732977;;
yes;4;;43045-0400;X801  X1201  X1202  X1203;9733019;;
yes;1;;43045-0600;X1301;1012252;;
yes;1;;MA04-2;SV901;;SAM1096-04-ND;
no;1;;;SV2101;2025250;;
yes;2;;2X12;JP2201  JP2202;;SAM1096-12-ND;
;;;;; ;;
;;;;; ;;
;;;;;;;
;;;;;;;
